ID,Age,Education,Marital_Status,Income,Kids_home,Teens_home,Total_Kids,Customer_type,Amount_Liquor,Amount_Fruits_Veg,Amount_Meat,Amount_Sweets,Amount_Bakery,Total_Purchase,Buyer_Category
176,33,Other,Single,67506,0,1,1,new,90,38,67,33,36,331,Frequent buyer
178,57,Graduate,Married,62503,0,1,1,old,478,0,193,110,75,973,Frequent buyer
182,67,PhD,Single,44124,0,1,1,old,284,0,55,0,6,397,Frequent buyer
193,23,Other,Married,14421,0,0,0,new,0,0,2,3,3,16,Low buyer
194,48,Graduate,Married,48006,1,1,2,new,23,0,11,3,2,41,Low buyer
195,41,Graduate,Single,38808,1,0,1,old,125,17,52,3,19,246,Frequent buyer
199,51,Other,Single,45183,0,0,0,old,219,3,60,12,9,315,Frequent buyer
202,65,PhD,Single,82032,0,0,0,new,332,194,377,149,125,1234,Potential buyer
203,38,Other,Single,81169,0,0,0,old,1288,20,613,80,61,2089,Potential buyer
213,50,PhD,Single,23091,1,1,2,new,35,0,11,0,0,48,Low buyer
217,57,Other,Single,64857,0,0,0,old,556,14,717,210,0,1540,Potential buyer
221,58,Graduate,Married,48726,0,,1,old,138,3,38,4,0,,Frequent buyer
231,57,Other,Single,28839,1,1,2,new,24,0,7,0,0,32,Low buyer
232,48,Graduate,Single,61559,0,1,1,old,279,83,88,32,14,530,Frequent buyer
234,34,Graduate,Single,15287,1,0,1,old,1,2,8,4,3,31,Low buyer
236,62,Graduate,Married,34838,1,1,2,old,28,23,29,29,14,170,Frequent buyer
238,46,Other,Single,67309,1,1,2,old,515,47,181,149,95,1082,Potential buyer
241,61,Graduate,Single,83844,0,0,0,old,901,31,345,75,31,1574,Potential buyer
246,48,Graduate,Married,66480,,1,2,new,199,9,57,20,21,312,Frequent buyer
247,42,Graduate,Married,36715,1,0,1,old,172,10,125,21,13,357,Frequent buyer
252,50,PhD,Single,,0,0,0,old,123,133,142,71,44,601,Frequent buyer
254,58,Graduate,Single,53863,,,1,new,399,4,30,6,4,473,Frequent buyer
255,62,Graduate,Single,22263,1,1,,new,17,0,2,0,0,21,Low buyer
257,54,PhD,Married,75032,0,1,1,old,952,12,180,47,12,1215,Potential buyer
263,68,PhD,Single,45576,0,0,0,new,56,19,29,2,14,145,Frequent buyer
269,50,PhD,Single,46757,0,1,1,old,777,30,163,0,51,,Potential buyer
271,44,Graduate,Single,40590,1,1,2,old,154,0,50,6,11,258,Frequent buyer
273,43,Other,Married,36138,1,1,2,old,130,0,16,0,0,151,Frequent buyer
274,40,Graduate,Single,34853,1,1,2,old,9,3,15,2,3,34,Low buyer
286,61,Graduate,Single,44213,1,1,2,old,95,11,35,0,4,152,Frequent buyer
291,43,Graduate,Married,72940,0,0,0,old,182,74,298,162,149,981,Frequent buyer
295,24,Graduate,Single,81217,0,0,0,old,493,70,324,146,40,1157,Potential buyer
304,32,Other,Single,22944,1,0,1,,19,3,19,4,,76,Frequent buyer
309,52,PhD,Single,63342,0,1,1,old,918,21,118,13,10,1101,Potential buyer
310,43,Other,Married,61872,0,1,1,old,330,5,159,36,27,573,Frequent buyer
313,45,Graduate,Single,73455,0,0,0,old,901,61,757,186,163,2088,Potential buyer
322,35,Graduate,Single,42554,1,1,2,old,29,1,11,0,0,41,Low buyer
326,40,Graduate,Married,51148,1,1,2,old,235,6,45,8,9,315,Frequent buyer
332,56,Graduate,Married,47743,0,1,1,old,198,2,43,0,12,275,Frequent buyer
339,41,PhD,Married,57091,0,1,1,old,462,0,24,6,0,496,Frequent buyer
340,43,Graduate,Single,72967,0,1,1,old,158,35,179,0,0,497,Frequent buyer
347,37,Graduate,Single,40780,0,1,1,old,229,27,71,13,3,377,Frequent buyer
359,63,Graduate,Single,48070,0,1,1,old,373,14,83,6,9,504,Frequent buyer
361,44,Other,Married,43142,1,1,2,new,5,1,7,2,1,20,Low buyer
367,35,Other,Married,36550,1,0,1,old,47,,94,123,103,577,Frequent buyer
368,39,,Married,40049,0,1,1,old,91,65,52,10,44,290,Frequent buyer
375,59,Graduate,Single,76773,0,0,0,old,516,56,449,86,33,1156,Potential buyer
378,42,,Married,52531,0,0,0,old,283,112,151,51,72,794,Frequent buyer
380,59,Graduate,Single,64497,0,1,1,old,1170,48,320,42,32,1804,Potential buyer
387,37,Other,Married,7500,0,0,0,old,6,16,11,11,1,61,Low buyer
405,49,Graduate,Single,41638,0,1,1,old,315,0,31,4,0,441,Frequent buyer
425,28,Graduate,Married,55357,2,0,2,old,374,64,116,84,25,727,Frequent buyer
433,55,Other,Single,61331,1,1,2,old,534,5,47,0,5,632,Frequent buyer
437,37,Other,Single,75012,0,0,0,new,294,142,218,164,58,1027,Frequent buyer
448,35,PhD,Single,54880,1,,1,old,308,85,137,102,,795,Frequent buyer
450,55,Other,Single,42315,0,1,1,old,67,15,80,17,11,270,Frequent buyer
451,24,Graduate,Single,9255,,0,,old,9,0,7,2,0,22,Low buyer
453,57,PhD,Single,35340,1,1,2,new,27,0,12,0,1,45,Low buyer
454,33,Graduate,Single,69508,1,0,1,old,824,32,162,42,32,1135,Potential buyer
455,67,PhD,Married,,0,0,,old,102,9,63,2,9,209,Frequent buyer
456,27,Other,Married,7500,1,0,1,old,1,11,5,4,6,36,Low buyer
460,41,PhD,Married,79930,0,,0,old,792,86,740,67,51,1753,Potential buyer
466,69,Graduate,Married,65275,0,0,0,old,388,14,218,91,14,746,Frequent buyer
477,27,Graduate,Married,83512,0,0,0,new,1060,61,835,80,20,2157,Potential buyer
486,25,Graduate,Married,84219,0,0,0,new,434,137,400,45,137,1198,Potential buyer
492,40,PhD,Single,48432,0,1,1,old,322,3,50,4,3,424,Frequent buyer
498,43,Graduate,Single,30015,1,0,1,new,25,0,22,2,3,57,Low buyer
500,36,Graduate,Single,96876,0,0,0,old,908,43,735,40,194,1941,Potential buyer
503,28,Other,Married,20559,1,0,1,old,13,1,29,3,0,53,Low buyer
520,39,Graduate,Married,34421,1,0,1,old,3,3,7,6,2,30,Low buyer
521,28,Graduate,Single,54006,1,0,1,old,174,77,203,6,24,581,Frequent buyer
523,24,,Married,37155,1,0,1,old,23,0,26,7,15,74,Frequent buyer
524,47,Other,Single,22634,0,0,0,old,,23,11,8,6,96,Frequent buyer
528,35,Graduate,Married,65819,0,0,0,old,267,38,701,149,165,1383,Potential buyer
531,59,PhD,Single,57333,0,1,1,old,941,14,397,76,58,1662,Potential buyer
535,26,Graduate,Single,81361,0,0,0,new,163,,424,27,65,778,Frequent buyer
538,24,Graduate,Single,46107,1,0,1,new,31,9,27,16,9,125,Frequent buyer
544,59,Graduate,Married,,0,0,0,old,398,61,265,138,61,976,Frequent buyer
550,61,Graduate,Single,62335,0,1,1,old,243,131,217,85,6,708,Frequent buyer
564,32,PhD,Single,56937,1,0,1,old,746,8,125,11,8,906,Frequent buyer
569,28,Graduate,Single,90273,0,0,0,old,704,129,853,120,74,1991,Potential buyer
574,49,Graduate,Married,42523,0,0,0,new,14,36,11,3,26,125,Frequent buyer
577,37,Other,Single,26907,1,1,2,old,9,1,7,0,3,22,Low buyer
590,43,Other,Single,78579,0,0,0,old,816,66,549,216,66,1812,Potential buyer
591,56,Graduate,Single,66033,0,1,1,old,293,35,179,46,59,677,Frequent buyer
606,46,Graduate,Single,25930,1,1,2,old,6,1,2,2,0,15,Low buyer
607,58,Other,Single,41769,0,1,1,old,302,29,131,32,0,521,Frequent buyer
610,60,PhD,Single,53593,1,1,2,old,349,4,78,6,0,480,Frequent buyer
615,53,Graduate,Single,30507,0,0,0,old,65,36,74,38,20,343,Frequent buyer
618,36,PhD,Married,69389,0,1,1,old,422,7,238,69,46,797,Frequent buyer
624,29,Other,Single,18890,0,0,0,old,6,4,1,7,2,35,Low buyer
626,62,Graduate,Married,32871,1,1,2,old,22,2,12,0,2,43,Low buyer
635,47,Other,Married,57183,1,1,2,old,464,5,64,7,0,610,Frequent buyer
640,62,Graduate,Married,57304,0,1,1,old,356,80,329,138,17,1026,Frequent buyer
641,46,Graduate,Single,52074,0,1,1,new,59,0,12,0,0,119,Frequent buyer
642,33,Other,Married,16005,1,0,1,old,1,3,2,20,30,103,Frequent buyer
663,24,PhD,Single,33996,0,0,0,old,40,2,15,8,0,71,Frequent buyer
675,40,Other,Single,52034,1,1,2,old,146,0,93,7,13,332,Frequent buyer
679,56,PhD,Married,37633,1,1,2,old,13,4,20,0,0,38,Low buyer
692,59,Graduate,Single,36807,1,1,2,old,4,2,5,0,0,16,Low buyer
697,44,Graduate,Single,74918,0,0,0,old,972,59,913,25,19,2047,Potential buyer
701,42,Graduate,Married,73691,0,1,1,old,707,21,250,85,43,1179,Potential buyer
702,38,Other,Single,47682,0,1,1,old,162,61,83,97,57,521,Frequent buyer
709,61,Graduate,Single,51537,0,1,1,old,787,20,204,0,0,1103,Potential buyer
713,36,Other,Married,50353,0,0,0,new,141,15,153,67,,442,Frequent buyer
716,64,PhD,Single,67911,0,1,1,new,529,0,356,63,28,976,Frequent buyer
736,30,Graduate,Single,28427,1,0,1,old,18,3,19,3,3,52,Low buyer
737,64,PhD,Married,80360,0,0,0,old,1493,86,454,112,43,2231,Potential buyer
738,32,Other,Single,42395,1,1,2,new,48,13,57,24,15,182,Frequent buyer
749,32,Graduate,Single,42162,1,0,1,old,46,7,59,2,4,145,Frequent buyer
760,38,PhD,Single,60554,1,0,1,old,588,7,76,110,15,811,Frequent buyer
762,32,Other,Single,75774,1,0,1,new,340,21,134,258,14,823,Frequent buyer
771,46,Graduate,Single,54178,0,1,1,new,135,9,39,4,0,194,Frequent buyer
773,42,Other,Single,42835,1,1,2,old,379,4,93,12,9,595,Frequent buyer
793,40,Graduate,Married,20895,1,0,1,old,18,,17,3,0,45,Low buyer
796,48,Other,Single,60161,0,1,1,old,584,44,212,46,8,1071,Potential buyer
798,26,Graduate,Single,23442,1,0,1,old,2,0,,8,6,27,Low buyer
800,53,Graduate,Single,44512,1,1,2,old,23,1,6,0,0,32,Low buyer
803,45,Graduate,Single,40521,1,1,2,old,12,0,5,0,0,21,Low buyer
807,44,Other,Single,44602,1,1,2,new,167,2,89,0,0,292,Frequent buyer
810,38,Graduate,Married,74190,0,1,1,new,151,81,86,168,91,641,Frequent buyer
819,68,Graduate,Single,63285,0,0,0,old,508,124,249,50,38,1103,Potential buyer
821,27,Other,Single,92859,0,0,0,,962,61,921,52,61,2077,Potential buyer
830,26,PhD,Single,74004,0,0,0,new,784,48,560,42,176,1658,Potential buyer
832,47,PhD,Single,65814,0,1,1,new,561,14,113,,14,747,Frequent buyer
833,58,Other,,38452,1,1,2,new,56,0,14,0,0,72,Frequent buyer
837,36,Graduate,Married,54809,1,1,2,old,63,6,57,13,13,174,Frequent buyer
839,38,PhD,Married,45503,1,0,1,old,97,4,44,6,1,170,Frequent buyer
843,42,Graduate,Married,64722,1,0,1,new,303,0,280,60,147,805,Frequent buyer
849,60,Other,,56129,0,1,1,old,320,48,133,39,72,660,Frequent buyer
850,45,Graduate,,70566,0,1,1,old,381,28,215,84,28,757,Frequent buyer
851,41,Other,Married,57136,1,1,2,old,306,5,109,21,109,642,Frequent buyer
868,47,Graduate,Married,44794,0,1,1,new,54,0,7,0,0,65,Low buyer
873,64,Other,Married,62845,1,1,2,old,1099,0,45,0,0,1178,Potential buyer
879,37,Other,Married,49681,0,2,2,old,411,0,26,,0,458,Frequent buyer
880,47,Other,Single,22634,0,0,0,old,2,23,11,8,6,96,Frequent buyer
891,62,Other,Single,29298,1,1,2,old,6,0,2,2,0,11,Low buyer
895,65,PhD,Married,61467,0,2,2,old,410,16,114,0,5,594,Frequent buyer
898,27,Graduate,Married,23477,,0,1,old,38,15,54,3,8,147,Frequent buyer
902,33,Graduate,Single,62994,1,0,1,new,224,12,48,4,12,312,Frequent buyer
905,27,Graduate,Single,21846,1,0,1,old,7,17,,6,10,84,Frequent buyer
907,38,Graduate,Married,46149,0,1,1,old,254,6,71,4,0,362,Frequent buyer
916,41,PhD,Single,41644,1,1,2,new,20,3,4,2,0,31,Low buyer
922,34,Other,Married,31086,1,1,2,old,16,2,11,3,0,48,Low buyer
933,35,PhD,Married,37717,1,0,1,old,9,0,6,4,1,25,Low buyer
938,32,Graduate,Married,40211,1,1,2,old,51,1,7,2,1,87,Frequent buyer
940,26,Graduate,Single,57100,1,0,1,new,158,11,99,15,11,311,Frequent buyer
942,,Graduate,Single,39660,1,0,1,old,139,13,78,20,13,299,Frequent buyer
944,51,Graduate,Married,56181,0,1,1,old,121,103,69,8,44,393,Frequent buyer
945,48,Graduate,Single,36317,0,1,1,old,87,3,25,3,2,133,Frequent buyer
946,55,Other,Single,26490,0,0,0,old,45,47,52,21,20,210,Frequent buyer
948,42,Graduate,Single,10245,1,0,1,old,4,7,7,6,4,41,Low buyer
954,53,Other,Single,22123,0,0,0,new,3,3,24,34,7,102,Frequent buyer
955,51,Other,Single,47175,1,1,2,old,167,2,44,6,2,240,Frequent buyer
961,41,Graduate,Married,74716,0,1,1,old,133,27,421,13,195,860,Frequent buyer
965,42,Graduate,Single,55635,0,1,1,old,235,65,164,50,49,590,Frequent buyer
966,47,,Married,44529,0,1,1,old,,13,91,17,6,691,Frequent buyer
967,37,Graduate,Married,46049,1,1,2,old,342,9,112,19,14,515,Frequent buyer
968,45,Other,Single,41335,1,0,1,old,112,19,21,16,14,187,Frequent buyer
975,57,Graduate,Single,54252,1,1,2,old,178,4,26,8,4,264,Frequent buyer
977,56,Graduate,Single,47320,0,1,1,old,200,19,111,50,15,414,Frequent buyer
979,38,Graduate,Single,33249,1,0,1,old,6,10,21,19,14,,Frequent buyer
983,29,Graduate,Married,40059,1,0,1,old,110,29,92,28,10,414,Frequent buyer
988,48,Graduate,Married,81168,,0,0,new,410,0,592,147,22,1193,Potential buyer
999,28,Graduate,Single,86037,0,0,0,old,490,44,125,29,20,730,Frequent buyer
1000,52,Other,Single,74881,1,1,2,old,505,72,270,36,27,964,Frequent buyer
1008,32,PhD,Single,44953,0,0,0,old,728,17,133,11,8,1021,Frequent buyer
1010,36,Graduate,Single,46931,2,1,3,new,41,0,17,3,1,78,Frequent buyer
1012,61,Graduate,Single,61823,0,1,1,old,523,7,134,37,14,884,Frequent buyer
1016,54,PhD,Single,34554,0,1,1,new,41,1,6,2,0,55,Low buyer
1020,40,Graduate,Married,79593,0,0,0,,350,60,568,110,133,1366,Potential buyer
1029,43,PhD,Single,64413,0,1,1,old,200,5,44,0,10,,Frequent buyer
1030,48,PhD,Single,40637,1,1,2,old,22,0,13,0,0,38,Low buyer
1031,24,Other,Married,85710,0,0,0,old,600,20,350,29,30,1062,Potential buyer
1041,40,PhD,Single,48432,0,1,1,old,322,3,50,4,3,424,Frequent buyer
1044,60,Graduate,Single,58398,0,0,0,old,299,5,201,21,21,596,Frequent buyer
1045,48,Graduate,Single,52117,0,1,1,old,112,10,107,30,0,279,Frequent buyer
1048,41,Other,Married,35641,1,0,1,old,63,3,67,8,9,178,Frequent buyer
1050,61,Graduate,Married,,0,0,0,new,14,10,13,4,15,65,Low buyer
1052,44,,Married,56796,0,1,1,old,656,38,161,62,47,1001,Frequent buyer
1055,37,Other,Married,53204,1,1,2,new,29,0,8,2,0,,Low buyer
1064,42,PhD,Married,42403,1,0,1,old,22,1,11,0,5,42,Low buyer
1065,50,Graduate,Single,80695,0,0,0,old,557,129,984,193,37,1918,Potential buyer
1071,37,PhD,Single,70179,0,1,1,old,532,88,168,69,,1034,Frequent buyer
1072,48,PhD,Single,40760,0,1,1,old,70,0,17,0,0,93,Frequent buyer
1077,39,Graduate,Single,56715,0,0,0,old,258,105,239,237,172,1020,Frequent buyer
1079,42,PhD,Married,71969,0,1,1,old,1000,0,76,0,0,1086,Potential buyer
1081,56,PhD,Married,75283,1,2,3,old,733,9,180,12,19,1019,Frequent buyer
1087,38,Other,Single,22669,1,0,1,old,16,14,36,37,22,173,Frequent buyer
1092,33,Graduate,Married,61014,0,1,1,old,,129,495,182,43,1147,Potential buyer
1100,53,Other,Single,,1,2,3,new,24,4,22,0,2,61,Low buyer
1103,37,Other,Married,81929,1,0,1,old,1486,55,278,49,0,2053,Potential buyer
1109,31,Other,,27590,1,0,1,old,6,0,5,0,0,12,Low buyer
1118,57,Other,Married,50965,0,1,1,old,544,13,85,8,6,685,Frequent buyer
1127,40,PhD,Married,85844,0,0,0,new,938,19,843,25,95,1958,Potential buyer
1131,46,PhD,Single,,0,1,1,new,85,0,3,0,0,95,Frequent buyer
1135,53,Other,Single,17144,1,1,2,new,18,2,19,0,2,47,Low buyer
1137,49,Graduate,Single,81246,0,0,0,old,398,190,537,61,156,1379,Potential buyer
1139,29,PhD,Married,73356,0,0,0,new,1050,14,322,0,14,1512,Potential buyer
1142,60,PhD,Married,55707,0,1,1,old,208,7,82,30,66,428,Frequent buyer
1143,41,Graduate,Married,22063,1,0,1,old,7,10,13,3,11,55,Low buyer
1146,64,Other,Single,49912,0,1,1,old,520,8,223,32,49,874,Frequent buyer
1150,24,PhD,Single,83532,0,0,,old,755,144,562,104,64,1853,Potential buyer
1158,47,Graduate,Single,48877,0,1,1,new,102,1,15,2,0,144,Frequent buyer
1160,43,Graduate,Married,13260,1,1,2,old,9,4,17,10,2,49,Low buyer
1162,26,PhD,Single,42000,0,0,0,old,124,83,267,85,59,653,Frequent buyer
1165,55,PhD,Single,50729,1,1,2,old,239,13,143,45,4,496,Frequent buyer
1168,35,PhD,Married,72159,0,0,0,old,322,53,,34,40,1401,Potential buyer
1170,38,Graduate,Married,27573,1,0,1,old,50,15,110,39,15,,Frequent buyer
1172,30,PhD,Married,92491,0,0,0,old,979,44,935,29,25,2034,Potential buyer
1173,66,Other,Single,77632,0,0,0,old,1200,105,758,0,42,2252,Potential buyer
1175,30,Other,Married,36262,0,0,0,old,88,39,54,64,28,426,Frequent buyer
1176,40,Graduate,Married,26228,1,0,1,old,,6,4,3,1,25,Low buyer
1177,47,Other,Single,49618,1,1,2,old,80,3,26,4,2,129,Frequent buyer
1183,64,Other,Married,36408,1,1,2,old,9,1,,3,2,22,Low buyer
1184,45,PhD,Single,69674,0,2,2,old,554,41,215,11,0,845,Frequent buyer
1204,43,PhD,Married,67536,0,1,1,old,1253,0,447,23,71,1829,Potential buyer
1212,40,Graduate,Married,52845,1,0,1,old,384,25,292,130,41,936,Frequent buyer
1215,35,Graduate,Single,70440,0,0,0,old,690,117,499,76,102,1572,Potential buyer
1225,50,Graduate,Married,80124,0,0,0,new,483,84,398,205,84,,Potential buyer
1232,31,PhD,Single,70038,0,0,0,old,,54,348,71,54,1244,Potential buyer
1241,29,Other,Married,14796,1,0,1,old,13,3,8,7,4,51,Low buyer
1245,47,Graduate,Single,63810,0,1,1,old,977,12,253,16,12,1371,Potential buyer
1250,37,Graduate,Single,37697,1,0,1,new,34,6,21,11,4,84,Frequent buyer
1272,48,Other,Single,55250,0,1,1,old,664,58,83,32,0,903,Frequent buyer
1277,53,Graduate,Single,78468,0,0,0,new,434,22,388,104,22,1004,Frequent buyer
1291,35,PhD,Single,27683,1,0,1,old,152,9,121,12,12,351,Frequent buyer
1295,50,Graduate,Married,,0,1,,old,231,65,196,38,71,725,Frequent buyer
1307,35,Graduate,Single,41986,0,1,1,new,27,5,8,8,3,63,Low buyer
1321,39,Graduate,Married,26067,1,0,1,old,22,2,18,0,2,56,Low buyer
1324,25,Graduate,Married,38872,1,0,1,old,23,3,21,3,19,91,Frequent buyer
1328,31,Other,Married,57937,0,1,1,new,261,,144,55,48,683,Frequent buyer
1331,36,Graduate,Single,35790,1,0,1,old,12,6,20,30,1,72,Frequent buyer
1340,27,Graduate,Married,92910,0,,0,new,551,137,792,179,103,1795,Potential buyer
1343,45,,Single,58554,1,1,2,old,368,24,68,38,0,586,Frequent buyer
1349,43,Graduate,Married,50447,2,0,,new,85,7,24,2,3,148,Frequent buyer
1351,57,Other,Single,58656,0,1,1,old,962,12,194,,24,1220,Potential buyer
1357,43,Graduate,Single,74854,1,2,3,old,856,59,487,58,29,1562,Potential buyer
1361,39,Other,Married,82584,,0,0,old,1076,68,103,29,91,1435,Potential buyer
1362,41,Graduate,Single,31907,0,0,0,old,33,87,64,175,16,449,Frequent buyer
1371,37,,Single,79941,0,0,0,new,123,164,266,227,30,984,Frequent buyer
1377,59,Other,Single,44551,0,1,1,old,182,4,33,0,0,285,Frequent buyer
1378,41,Other,Single,50334,0,1,1,old,284,16,160,84,16,694,Frequent buyer
1379,27,Other,Single,42670,0,0,0,old,154,2,46,20,4,241,Frequent buyer
1381,31,PhD,,38513,1,0,1,new,172,3,115,16,0,324,Frequent buyer
1384,27,Other,Married,17256,1,0,1,old,6,4,14,8,8,62,Low buyer
1386,46,Graduate,Single,32474,1,1,2,new,10,0,1,0,0,11,Low buyer
1388,38,Graduate,Single,33249,1,0,1,old,6,10,21,19,14,112,Frequent buyer
1399,55,Graduate,Married,72905,,0,0,new,407,114,445,181,165,1515,Potential buyer
1402,59,Other,Married,66991,0,0,0,old,496,36,460,189,60,1253,Potential buyer
1403,38,Other,Single,34984,1,1,2,old,,4,15,3,5,38,Low buyer
1404,45,Graduate,Single,34916,2,0,2,,51,23,82,33,0,231,Frequent buyer
1406,38,Graduate,Single,53201,1,1,2,old,280,7,81,20,0,415,Frequent buyer
1407,27,,Married,20425,1,0,1,old,4,12,5,3,16,57,Low buyer
1409,62,Graduate,Single,40689,0,1,1,old,270,3,27,39,6,444,Frequent buyer
1411,61,Graduate,Single,82623,0,0,0,old,204,34,204,172,153,940,Frequent buyer
1419,63,Graduate,Single,34026,1,1,2,old,18,6,15,12,8,76,Frequent buyer
1440,35,Other,Single,52513,0,0,0,old,367,,241,104,188,1149,Potential buyer
1446,57,Other,Single,86424,0,0,0,new,387,68,569,89,45,1226,Potential buyer
1448,50,Other,Married,33562,1,2,3,new,21,12,12,0,3,51,Low buyer
1453,70,PhD,Single,57513,0,0,0,old,735,40,183,52,20,1060,Potential buyer
1456,34,Graduate,Single,60474,0,1,1,old,265,199,303,234,9,1180,Potential buyer
1458,31,Other,Married,21059,1,0,1,new,8,3,19,3,3,44,Low buyer
1459,47,PhD,Married,69063,0,1,1,old,,35,124,69,8,928,Frequent buyer
1461,48,PhD,Single,36921,1,1,2,old,17,1,12,3,1,38,Low buyer
1463,55,Graduate,Single,45160,1,1,2,new,8,2,5,3,0,21,Low buyer
1473,53,Other,Single,47823,0,1,1,old,53,,5,2,1,72,Frequent buyer
1490,51,Graduate,Married,55759,0,1,1,old,675,0,85,10,7,854,Frequent buyer
1491,48,Other,Single,71488,0,0,0,old,162,33,124,40,28,559,Frequent buyer
1497,61,Graduate,Single,47958,0,1,1,old,268,11,88,15,3,407,Frequent buyer
1501,31,PhD,Married,160803,0,0,0,old,55,16,1622,17,3,1717,Potential buyer
1502,30,Graduate,Single,28427,,0,1,old,18,3,19,3,,,Low buyer
1503,37,PhD,Single,162397,1,1,2,old,85,1,16,2,1,107,Frequent buyer
1506,38,Graduate,Single,42160,1,1,2,old,48,9,45,3,15,140,Frequent buyer
1509,55,PhD,Single,84460,0,0,0,old,152,27,,106,54,523,Frequent buyer
1513,34,Other,Single,60839,1,1,2,old,600,,128,223,150,1250,Potential buyer
1515,38,Other,Single,34176,0,1,1,new,11,2,7,4,2,28,Low buyer
1517,44,Graduate,Single,30822,1,0,1,old,3,9,13,2,12,51,Low buyer
1518,48,Other,Married,62694,1,1,2,old,379,6,157,25,91,749,Frequent buyer
1519,41,PhD,Single,38578,1,1,2,old,38,4,22,3,3,73,Frequent buyer
1523,40,Graduate,Married,59041,1,1,2,new,69,2,15,2,2,96,Frequent buyer
1524,30,Other,Single,81698,0,0,0,old,709,45,115,30,160,1104,Potential buyer
1542,38,Graduate,Single,56243,1,2,3,old,347,0,35,4,,396,Frequent buyer
1544,46,Other,Single,81380,0,0,0,old,741,68,,224,68,1893,Potential buyer
1545,27,Graduate,Married,38508,1,0,1,old,120,19,206,25,19,443,Frequent buyer
1553,67,Graduate,Single,82657,0,0,0,old,966,168,672,246,105,2283,Potential buyer
1570,62,PhD,Single,69702,0,1,1,old,664,9,240,50,19,1039,Frequent buyer
1577,67,Graduate,Married,78569,0,0,0,new,558,79,622,207,175,1736,Potential buyer
1581,33,Graduate,Married,37406,1,0,1,old,2,0,8,2,2,17,Low buyer
1584,36,Graduate,Married,41443,1,0,1,new,171,7,171,25,19,482,Frequent buyer
1592,43,Graduate,Married,90765,0,0,0,new,547,99,812,151,82,1724,Potential buyer
1600,48,Other,Married,56962,2,1,3,old,292,3,77,10,3,411,Frequent buyer
1604,53,Other,,47353,0,1,1,old,184,2,19,8,8,225,Frequent buyer
1606,42,Graduate,Single,38590,1,0,1,old,,1,8,4,3,22,Low buyer
1612,32,PhD,Single,,1,0,1,old,23,0,15,0,2,47,Low buyer
1618,48,Graduate,Single,56046,0,0,0,old,577,0,64,0,0,692,Frequent buyer
1619,57,Graduate,Married,,0,0,0,new,292,51,981,224,23,1588,Potential buyer
1626,40,PhD,Single,35860,1,1,2,new,15,,8,4,2,49,Low buyer
1627,56,Other,Single,77297,0,0,0,old,408,61,109,48,122,789,Frequent buyer
